City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,Zhezkazgan,47.8043,67.7144,68.29,25,81,11.39,KZ,2022-06-05 18:22:27
275,Bela Vista,-22.1089,-56.5211,90.01,34,27,10.2,BR,2022-06-05 18:22:28
276,Aligarh,27.8833,78.0833,97.45,14,46,5.03,IN,2022-06-05 18:22:28
277,Chapada Dos Guimaraes,-15.4606,-55.7497,87.46,21,9,6.71,BR,2022-06-05 18:22:28
278,Shaowu,27.3409,117.4831,74.28,98,100,4.21,CN,2022-06-05 18:22:29
279,Ascension,30.2169,-90.9001,92.08,61,75,3.44,US,2022-06-05 18:22:29
280,Makakilo City,21.3469,-158.0858,77.68,62,0,5.75,US,2022-06-05 18:22:30
281,Aviles,43.5547,-5.9248,64.38,72,75,2.3,ES,2022-06-05 18:22:30
282,Doha,25.2867,51.5333,95.31,42,0,1.14,QA,2022-06-05 18:20:25
283,Felipe Carrillo Puerto,19.5833,-88.05,95.04,42,98,3.06,MX,2022-06-05 18:22:31
284,Seoul,37.5683,126.9778,65.77,82,100,8.05,KR,2022-06-05 18:17:58
285,San Patricio,28.017,-97.5169,96.17,38,6,15.82,US,2022-06-05 18:22:31
286,Rocha,-34.4833,-54.3333,63.27,72,100,3.98,UY,2022-06-05 18:22:31
287,Pisco,-13.7,-76.2167,69.85,68,0,18.41,PE,2022-06-05 18:22:32
288,Guozhen,34.3659,107.359,73.49,35,89,4.03,CN,2022-06-05 18:22:32
289,Warri,5.5167,5.75,73.62,93,100,2.98,NG,2022-06-05 18:22:33
